User-ID,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-M,num_rating
277427,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc,http://images.amazon.com/images/P/002542730X.01.MZZZZZZZ.jpg,82
277427,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg,133
277427,Bel Canto: A Novel,Ann Patchett,2002,Perennial,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg,108
277427,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg,108
277427,The Secret Garden,Frances Hodgson Burnett,1998,HarperTrophy,http://images.amazon.com/images/P/006440188X.01.MZZZZZZZ.jpg,79
277427,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg,77
277427,Girl in Hyacinth Blue,Susan Vreeland,2000,Penguin Books,http://images.amazon.com/images/P/014029628X.01.MZZZZZZZ.jpg,91
277427,Chocolat,Joanne Harris,2000,Penguin Books,http://images.amazon.com/images/P/014100018X.01.MZZZZZZZ.jpg,103
277427,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,209
277427,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312966091.01.MZZZZZZZ.jpg,105
277427,Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003,St. Martin's Paperbacks,http://images.amazon.com/images/P/031298328X.01.MZZZZZZZ.jpg,79
277427,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books,http://images.amazon.com/images/P/0316096199.01.MZZZZZZZ.jpg,115
277427,The Dogs of Babel (Today Show Book Club #12),Carolyn Parkhurst,2003,"Little, Brown",http://images.amazon.com/images/P/0316168688.01.MZZZZZZZ.jpg,55
277427,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,Back Bay Books,http://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg,114
277427,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown",http://images.amazon.com/images/P/0316569321.01.MZZZZZZZ.jpg,116
277427,The Jester,James Patterson,2003,"Little, Brown",http://images.amazon.com/images/P/0316602051.01.MZZZZZZZ.jpg,68
277427,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,270
277427,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg,146
277427,Naked,David Sedaris,1998,Back Bay Books,http://images.amazon.com/images/P/0316777730.01.MZZZZZZZ.jpg,53
277427,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,83
277427,A Prayer for Owen Meany,John Irving,1990,Ballantine Books,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,137
277427,Silent Witness,RICHARD NORTH PATTERSON,1997,Ballantine Books,http://images.amazon.com/images/P/0345404769.01.MZZZZZZZ.jpg,66
277427,No Safe Place,RICHARD NORTH PATTERSON,1999,Ballantine Books,http://images.amazon.com/images/P/0345404777.01.MZZZZZZZ.jpg,53
277427,The Murder Book,Jonathan Kellerman,2003,Ballantine Books,http://images.amazon.com/images/P/0345413903.01.MZZZZZZZ.jpg,86
277427,Middlesex: A Novel,Jeffrey Eugenides,2002,"Farrar, Straus and Giroux",http://images.amazon.com/images/P/0374199698.01.MZZZZZZZ.jpg,94
277427,Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380710218.01.MZZZZZZZ.jpg,78
277427,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg,84
277427,The Rainmaker,John Grisham,1995,Doubleday Books,http://images.amazon.com/images/P/0385424736.01.MZZZZZZZ.jpg,180
277427,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,Doubleday,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg,142
277427,Into the Wild,Jon Krakauer,1997,Anchor,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,71
277427,Oryx and Crake,Margaret Atwood,2003,Nan A. Talese,http://images.amazon.com/images/P/0385503857.01.MZZZZZZZ.jpg,58
277427,The Da Vinci Code,Dan Brown,2003,Doubleday,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,224
277427,Lord of the Flies,William Gerald Golding,1959,Perigee Trade,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,120
277427,Watchers,Dean R. Koontz,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425107469.01.MZZZZZZZ.jpg,71
277427,Mortal Fear,Robin Cook,1989,Berkley Publishing Group,http://images.amazon.com/images/P/0425113884.01.MZZZZZZZ.jpg,61
277427,Lightning,Dean R. Koontz,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425115801.01.MZZZZZZZ.jpg,136
277427,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group,http://images.amazon.com/images/P/0425116840.01.MZZZZZZZ.jpg,67
277427,Rules of Prey,John Sandford,1992,Berkley Publishing Group,http://images.amazon.com/images/P/0425121631.01.MZZZZZZZ.jpg,52
277427,Mind Prey,John Sandford,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425152898.01.MZZZZZZZ.jpg,53
277427,From Potter's Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425154092.01.MZZZZZZZ.jpg,94
277427,Contagion,Robin Cook,1998,Berkley Publishing Group,http://images.amazon.com/images/P/0425155943.01.MZZZZZZZ.jpg,56
277427,Cause of Death,Patricia Daniels Cornwell,1997,Berkley Publishing Group,http://images.amazon.com/images/P/0425158616.01.MZZZZZZZ.jpg,121
277427,Certain Prey,John Sandford,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425174271.01.MZZZZZZZ.jpg,64
277427,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425175405.01.MZZZZZZZ.jpg,123
277427,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,183
277427,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,Scholastic,http://images.amazon.com/images/P/0439136369.01.MZZZZZZZ.jpg,138
277427,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2001,Scholastic,http://images.amazon.com/images/P/043936213X.01.MZZZZZZZ.jpg,78
277427,The Promise,Danielle Steel,1978,Dell,http://images.amazon.com/images/P/0440170796.01.MZZZZZZZ.jpg,62
277427,Secrets,DANIELLE STEEL,1986,Dell,http://images.amazon.com/images/P/0440176484.01.MZZZZZZZ.jpg,68
277427,Wanderlust,Danielle Steel,1987,Dell,http://images.amazon.com/images/P/0440193613.01.MZZZZZZZ.jpg,81
277427,Guardian Angel,Sara Paretsky,1996,Dell Publishing Company,http://images.amazon.com/images/P/0440213991.01.MZZZZZZZ.jpg,56
277427,Vanished,Danielle Steel,1994,Dell,http://images.amazon.com/images/P/0440217466.01.MZZZZZZZ.jpg,67
277427,The Partner,John Grisham,1998,Dell Publishing Company,http://images.amazon.com/images/P/0440224764.01.MZZZZZZZ.jpg,159
277427,The Street Lawyer,JOHN GRISHAM,1999,Dell,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,186
277427,Tell No One,Harlan Coben,2002,Dell Publishing Company,http://images.amazon.com/images/P/0440236703.01.MZZZZZZZ.jpg,94
277427,The Summons,John Grisham,2002,Dell Publishing Company,http://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg,171
277427,Presumed Innocent,Scott Turow,1988,Warner Books,http://images.amazon.com/images/P/0446350982.01.MZZZZZZZ.jpg,149
277427,Blood Work,Michael Connelly,1998,Warner Books,http://images.amazon.com/images/P/0446602620.01.MZZZZZZZ.jpg,54
277427,Hide &amp; Seek,James Patterson,1996,Warner Books,http://images.amazon.com/images/P/0446603716.01.MZZZZZZZ.jpg,64
277427,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,Warner Books,http://images.amazon.com/images/P/0446604801.01.MZZZZZZZ.jpg,77
277427,Unspeakable,Sandra Brown,1999,Warner Books,http://images.amazon.com/images/P/0446607193.01.MZZZZZZZ.jpg,55
277427,Saving Faith,David Baldacci,2000,Warner Vision,http://images.amazon.com/images/P/0446608890.01.MZZZZZZZ.jpg,86
277427,Violets Are Blue,James Patterson,2002,Warner Vision,http://images.amazon.com/images/P/0446611212.01.MZZZZZZZ.jpg,150
277427,J Is for Judgment,Sue Grafton,1999,Fawcett Books,http://images.amazon.com/images/P/0449221482.01.MZZZZZZZ.jpg,81
277427,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1999,Fawcett Books,http://images.amazon.com/images/P/0449221504.01.MZZZZZZZ.jpg,79
277427,Misery,Stephen King,2004,Penguin USA (Paper),http://images.amazon.com/images/P/0451169522.01.MZZZZZZZ.jpg,121
277427,Dolores Claiborne,Stephen King,2004,Signet Book,http://images.amazon.com/images/P/0451177096.01.MZZZZZZZ.jpg,124
277427,The Edge,Catherine Coulter,2000,Jove Books,http://images.amazon.com/images/P/0515128600.01.MZZZZZZZ.jpg,64
277427,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books,http://images.amazon.com/images/P/0515132020.01.MZZZZZZZ.jpg,95
277427,Hemlock Bay,Catherine Coulter,2002,Jove Books,http://images.amazon.com/images/P/0515133302.01.MZZZZZZZ.jpg,52
277427,The Prince of Tides,Pat Conroy,1987,Bantam Books,http://images.amazon.com/images/P/0553268880.01.MZZZZZZZ.jpg,148
277427,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1988,Bantam,http://images.amazon.com/images/P/0553271636.01.MZZZZZZZ.jpg,84
277427,Where the Red Fern Grows,Wilson Rawls,1984,Random House Children's Books,http://images.amazon.com/images/P/0553274295.01.MZZZZZZZ.jpg,62
277427,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1989,Bantam,http://images.amazon.com/images/P/0553279556.01.MZZZZZZZ.jpg,80
277427,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,Bantam,http://images.amazon.com/images/P/0553280341.01.MZZZZZZZ.jpg,132
277427,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam,http://images.amazon.com/images/P/0553280368.01.MZZZZZZZ.jpg,93
277427,Long After Midnight,IRIS JOHANSEN,1997,Bantam,http://images.amazon.com/images/P/0553571818.01.MZZZZZZZ.jpg,55
277427,The Alienist,Caleb Carr,1995,Bantam Books,http://images.amazon.com/images/P/0553572997.01.MZZZZZZZ.jpg,136
277427,One Door Away from Heaven,Dean R. Koontz,2002,Bantam Books,http://images.amazon.com/images/P/0553582755.01.MZZZZZZZ.jpg,90
277427,Reap the Wind,Iris Johansen,2002,Bantam Books,http://images.amazon.com/images/P/0553586122.01.MZZZZZZZ.jpg,50
277427,By the Light of the Moon,DEAN KOONTZ,2002,Bantam,http://images.amazon.com/images/P/0553801430.01.MZZZZZZZ.jpg,56
277427,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press,http://images.amazon.com/images/P/0609804138.01.MZZZZZZZ.jpg,82
277427,Two for the Dough,Janet Evanovich,1996,Pocket,http://images.amazon.com/images/P/0671001795.01.MZZZZZZZ.jpg,126
277427,The God of Small Things,Arundhati Roy,1997,Random House Inc,http://images.amazon.com/images/P/0679457313.01.MZZZZZZZ.jpg,87
277427,Flesh and Blood,Jonathan Kellerman,2001,Random House,http://images.amazon.com/images/P/0679459626.01.MZZZZZZZ.jpg,103
277427,A Year in Provence,Peter Mayle,1991,Vintage Books USA,http://images.amazon.com/images/P/0679731148.01.MZZZZZZZ.jpg,51
277427,Midnight in the Garden of Good and Evil,John Berendt,1999,Vintage Books USA,http://images.amazon.com/images/P/0679751521.01.MZZZZZZZ.jpg,62
277427,Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/0684872153.01.MZZZZZZZ.jpg,92
277427,The Sands of Time,Sidney Sheldon,1988,William Morrow &amp; Company,http://images.amazon.com/images/P/0688065716.01.MZZZZZZZ.jpg,61
277427,If Only It Were True,Marc Levy,2000,Atria,http://images.amazon.com/images/P/0743406176.01.MZZZZZZZ.jpg,53
277427,Pay It Forward,Catherine Ryan Hyde,2000,Pocket,http://images.amazon.com/images/P/0743412028.01.MZZZZZZZ.jpg,70
277427,The Kitchen God's Wife,Amy Tan,1992,Ivy Books,http://images.amazon.com/images/P/080410753X.01.MZZZZZZZ.jpg,111
277427,Saint Maybe,ANNE TYLER,1992,Ivy Books,http://images.amazon.com/images/P/0804108749.01.MZZZZZZZ.jpg,73
277427,A Patchwork Planet,ANNE TYLER,2001,Ballantine Books,http://images.amazon.com/images/P/080411918X.01.MZZZZZZZ.jpg,57
277427,Wild Animus,Rich Shapero,2004,Too Far,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,363
277427,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor,http://images.amazon.com/images/P/1400031354.01.MZZZZZZZ.jpg,84
277427,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor,http://images.amazon.com/images/P/1400034779.01.MZZZZZZZ.jpg,135
277478,The Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books,http://images.amazon.com/images/P/0345351525.01.MZZZZZZZ.jpg,96
277478,While I Was Gone,Sue Miller,1999,Ballantine Books,http://images.amazon.com/images/P/0345443284.01.MZZZZZZZ.jpg,140
277478,Night Prey,John Sandford,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425146413.01.MZZZZZZZ.jpg,61
277478,Chromosome 6,Robin Cook,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425161242.01.MZZZZZZZ.jpg,56
277478,Point of Origin,Patricia Daniels Cornwell,1999,Berkley Publishing Group,http://images.amazon.com/images/P/0425169863.01.MZZZZZZZ.jpg,115
277478,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,182
277478,When the Wind Blows,James Patterson,1999,Warner Vision,http://images.amazon.com/images/P/0446607657.01.MZZZZZZZ.jpg,175
277478,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,Ballantine Books,http://images.amazon.com/images/P/0449907481.01.MZZZZZZZ.jpg,78
277478,All Creatures Great and Small,James Herriot,1985,Bantam Books,http://images.amazon.com/images/P/0553268120.01.MZZZZZZZ.jpg,50
277478,Ashes to Ashes,TAMI HOAG,2000,Bantam,http://images.amazon.com/images/P/0553579606.01.MZZZZZZZ.jpg,95
277478,Fear Nothing,DEAN KOONTZ,1998,Bantam,http://images.amazon.com/images/P/0553579754.01.MZZZZZZZ.jpg,81
277478,Seize the Night,DEAN KOONTZ,1999,Bantam,http://images.amazon.com/images/P/0553580191.01.MZZZZZZZ.jpg,78
277478,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,http://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg,130
277478,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,77
277478,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2003,Miramax Kids,http://images.amazon.com/images/P/0786817879.01.MZZZZZZZ.jpg,105
277478,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,118
277478,All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books,http://images.amazon.com/images/P/080410526X.01.MZZZZZZZ.jpg,127
277639,Disclosure,Michael Crichton,1994,Ballantine Books,http://images.amazon.com/images/P/0345391055.01.MZZZZZZZ.jpg,122
277639,Dark Rivers of the Heart,Dean R. Koontz,1995,Ballantine Books,http://images.amazon.com/images/P/034539657X.01.MZZZZZZZ.jpg,58
277639,"Whirlwind (Tyler, Book 1)",Nancy Martin,1992,Harlequin,http://images.amazon.com/images/P/0373825013.01.MZZZZZZZ.jpg,78
277639,Rainbow Six,Tom Clancy,1998,Random House Audio,http://images.amazon.com/images/P/0375402675.01.MZZZZZZZ.jpg,53
277639,Mystic River,Dennis Lehane,2002,HarperTorch,http://images.amazon.com/images/P/0380731851.01.MZZZZZZZ.jpg,130
277639,Shadow Prey,John Sandford,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425126064.01.MZZZZZZZ.jpg,50
277639,The Sum of All Fears (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425133540.01.MZZZZZZZ.jpg,69
277639,Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy,1995,Berkley Publishing Group,http://images.amazon.com/images/P/0425147363.01.MZZZZZZZ.jpg,63
277639,Hornet's Nest,Patricia Daniels Cornwell,1998,Berkley Publishing Group,http://images.amazon.com/images/P/042516098X.01.MZZZZZZZ.jpg,97
277639,A Time to Kill,JOHN GRISHAM,1992,Dell,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,210
277639,Heartbeat,Danielle Steel,1992,Dell,http://images.amazon.com/images/P/0440211891.01.MZZZZZZZ.jpg,58
277639,The Client,John Grisham,1994,Dell Publishing Company,http://images.amazon.com/images/P/0440213525.01.MZZZZZZZ.jpg,183
277639,The Pelican Brief,John Grisham,1993,Dell,http://images.amazon.com/images/P/0440214041.01.MZZZZZZZ.jpg,236
277639,Smilla's Sense of Snow,Peter Hoeg,1997,Island,http://images.amazon.com/images/P/0440218535.01.MZZZZZZZ.jpg,82
277639,The Horse Whisperer,Nicholas Evans,1996,Dell,http://images.amazon.com/images/P/0440222656.01.MZZZZZZZ.jpg,213
277639,2nd Chance,James Patterson,2003,Warner Vision,http://images.amazon.com/images/P/0446612790.01.MZZZZZZZ.jpg,124
277639,Alaska,James A. Michener,1994,Fawcett Books,http://images.amazon.com/images/P/0449217264.01.MZZZZZZZ.jpg,50
277639,Pet Sematary,Stephen King,1984,Signet Book,http://images.amazon.com/images/P/0451132378.01.MZZZZZZZ.jpg,119
277639,Four Past Midnight,Stephen King,2001,Signet Book,http://images.amazon.com/images/P/0451170385.01.MZZZZZZZ.jpg,71
277639,Fat Tuesday,Sandra Brown,1997,Random House Audio,http://images.amazon.com/images/P/0553478257.01.MZZZZZZZ.jpg,70
277639,Hideaway,Beverly H. Renner,1980,Scholastic,http://images.amazon.com/images/P/0590313088.01.MZZZZZZZ.jpg,89
277639,We'll Meet Again,Mary Higgins Clark,2000,Pocket,http://images.amazon.com/images/P/0671004565.01.MZZZZZZZ.jpg,88
277639,Mercy,Julie Garwood,2002,Pocket,http://images.amazon.com/images/P/0671034022.01.MZZZZZZZ.jpg,83
278418,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,1992,HarperCollins Publishers,http://images.amazon.com/images/P/006016848X.01.MZZZZZZZ.jpg,54
278418,Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy,http://images.amazon.com/images/P/0064400557.01.MZZZZZZZ.jpg,55
278418,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,Penguin Books,http://images.amazon.com/images/P/0140244824.01.MZZZZZZZ.jpg,95
278418,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books,http://images.amazon.com/images/P/014025448X.01.MZZZZZZZ.jpg,86
278418,Matilda,Roald Dahl,1990,Puffin Books,http://images.amazon.com/images/P/014034294X.01.MZZZZZZZ.jpg,64
278418,The Little Prince,Antoine de Saint-Exup̩ry,1968,Harcourt,http://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg,53
278418,Coming Home,Rosamunde Pilcher,1996,St. Martin's Press,http://images.amazon.com/images/P/0312958129.01.MZZZZZZZ.jpg,51
278418,Welcome to Temptation,Jennifer Crusie,2001,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312974256.01.MZZZZZZZ.jpg,77
278418,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books,http://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg,123
278418,Beloved,BERTRICE SMALL,1985,Ballantine Books,http://images.amazon.com/images/P/0345327853.01.MZZZZZZZ.jpg,78
278418,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey,http://images.amazon.com/images/P/0345348036.01.MZZZZZZZ.jpg,53
278418,Foucault's Pendulum,Umberto Eco,1990,Ballantine Books,http://images.amazon.com/images/P/0345368754.01.MZZZZZZZ.jpg,60
278418,Rising Sun,MICHAEL CRICHTON,1992,Ballantine Books,http://images.amazon.com/images/P/0345380371.01.MZZZZZZZ.jpg,112
278418,Degree of Guilt,Richard North Patterson,1995,Ballantine Books,http://images.amazon.com/images/P/034538184X.01.MZZZZZZZ.jpg,60
278418,Icebound,Dean R. Koontz,1995,Ballantine Books,http://images.amazon.com/images/P/0345384350.01.MZZZZZZZ.jpg,62
278418,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books,http://images.amazon.com/images/P/0345384466.01.MZZZZZZZ.jpg,101
278418,The Tale of the Body Thief (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books,http://images.amazon.com/images/P/034538475X.01.MZZZZZZZ.jpg,81
278418,Sleepers,Lorenzo Carcaterra,1996,Ballantine Books,http://images.amazon.com/images/P/0345404114.01.MZZZZZZZ.jpg,58
278418,The Genesis Code,John Case,1998,Ballantine Books,http://images.amazon.com/images/P/0345422317.01.MZZZZZZZ.jpg,67
278418,Irish Hearts,Nora Roberts,2000,Silhouette,http://images.amazon.com/images/P/0373484003.01.MZZZZZZZ.jpg,52
278418,A Man in Full,Tom Wolfe,1998,Farrar Straus &amp; Giroux,http://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg,65
278418,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA,http://images.amazon.com/images/P/0375702709.01.MZZZZZZZ.jpg,61
278418,Ellen Foster,Kaye Gibbons,1997,Vintage Books,http://images.amazon.com/images/P/0375703055.01.MZZZZZZZ.jpg,87
278418,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA,http://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg,67
278418,Watership Down,Richard Adams,1976,Avon,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,115
278418,The Thorn Birds,Colleen McCullough,1978,Avon,http://images.amazon.com/images/P/0380018179.01.MZZZZZZZ.jpg,110
278418,Dr. Atkins' New Diet Revolution,Robert C. Atkins,1997,Avon Books,http://images.amazon.com/images/P/0380727293.01.MZZZZZZZ.jpg,53
278418,American Gods,Neil Gaiman,2002,HarperTorch,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,94
278418,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,1990,Anchor,http://images.amazon.com/images/P/0385265700.01.MZZZZZZZ.jpg,116
278418,No Greater Love,Danielle Steel,1991,Delacorte Press,http://images.amazon.com/images/P/0385299095.01.MZZZZZZZ.jpg,55
278418,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,Doubleday Books,http://images.amazon.com/images/P/0385420161.01.MZZZZZZZ.jpg,51
278418,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1998,Anchor,http://images.amazon.com/images/P/0385492081.01.MZZZZZZZ.jpg,127
278418,A Painted House,JOHN GRISHAM,2001,Doubleday,http://images.amazon.com/images/P/038550120X.01.MZZZZZZZ.jpg,228
278418,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor,http://images.amazon.com/images/P/0385722206.01.MZZZZZZZ.jpg,111
278418,The Phantom Tollbooth,Norton Juster,1993,Yearling Books,http://images.amazon.com/images/P/0394820371.01.MZZZZZZZ.jpg,50
278418,Dragon Tears,Dean R. Koontz,1993,Putnam Pub Group,http://images.amazon.com/images/P/0399137734.01.MZZZZZZZ.jpg,54
278418,Midnight,Dean R. Koontz,1995,Berkley Publishing Group,http://images.amazon.com/images/P/0425118703.01.MZZZZZZZ.jpg,60
278418,The Hunt for Red October,Tom Clancy,1990,Berkley Publishing Group,http://images.amazon.com/images/P/0425120279.01.MZZZZZZZ.jpg,101
278418,Turtle Moon,Alice Hoffman,1993,Berkley Publishing Group,http://images.amazon.com/images/P/042513699X.01.MZZZZZZZ.jpg,85
278418,Fatal Cure,Robin Cook,1997,Berkley Publishing Group,http://images.amazon.com/images/P/0425145638.01.MZZZZZZZ.jpg,60
278418,The Body Farm,Patricia Daniels Cornwell,1995,Berkley Publishing Group,http://images.amazon.com/images/P/0425147622.01.MZZZZZZZ.jpg,95
278418,Acceptable Risk,Robin Cook,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425151867.01.MZZZZZZZ.jpg,56
278418,Invasion,Robin Cook,1997,Berkley Publishing Group,http://images.amazon.com/images/P/0425155404.01.MZZZZZZZ.jpg,66
